"Station","Points","full_name","team_Andrew_A","team_Andrew_B","team_Andrew_Total","team_Haruko_A","team_Haruko_B","team_Haruko_Total","team_Robin_A","team_Robin_B","team_Robin_Total"
"Apperley Bridge",200,"Apperley Bridge Rail station, UK",0,0,0,1,0,200,0,0,0
"Baildon",200,"Baildon Rail station, UK",0,0,0,0,0,0,0,0,0
"Batley",200,"Batley Rail station, UK",0,0,0,0,0,0,0,0,0
"Berry Brow",400,"Berry Brow Rail station, UK",0,0,0,0,0,0,0,0,0
"Brockholes",400,"Brockholes Rail station, UK",0,0,0,0,0,0,0,0,0
"Bingley",200,"Bingley Rail station, UK",0,0,0,0,0,0,0,0,0
"Ben Rhydding",200,"Ben Rhydding Rail station, UK",0,0,0,0,0,0,0,0,0
"Bradford Forster Square",200,"Bradford Forster Square Rail station, UK",0,0,0,0,0,0,0,0,0
"Bradford Interchange",200,"Bradford Interchange Rail station, UK",0,0,0,0,0,0,0,0,0
"Brighouse",400,"Brighouse Rail station, UK",0,0,0,0,0,0,0,0,0
"Burley Park",200,"Burley Park Rail station, UK",0,0,0,0,0,0,0,0,0
"Bramley",200,"Bramley Rail station, yorkshire, UK",0,0,0,0,0,0,0,0,0
"Burley-in-Wharfedale",200,"Burley-in-Wharfedale Rail station, UK",0,0,0,0,0,0,0,0,0
"Castleford",200,"Castleford Rail station, UK",0,0,0,0,0,0,0,0,0
"Crossflatts",200,"Crossflatts Rail station, UK",0,0,0,0,0,0,0,0,0
"Cottingley",200,"Cottingley Rail station, UK",0,0,0,0,0,0,0,0,0
"Cross Gates",200,"Cross Gates Rail station, UK",0,0,0,0,0,0,0,0,0
"Deighton",200,"Deighton Rail station, UK",0,0,0,0,0,0,0,0,0
"Denby Dale",1000,"Denby Dale Rail station, UK",0,0,0,0,0,0,0,0,0
"Darton",1000,"Darton Rail station, UK",0,0,0,0,0,0,0,0,0
"Dewsbury",200,"Dewsbury Rail station, UK",0,0,0,0,0,0,0,0,0
"East Garforth",200,"East Garforth Rail station, UK",0,0,0,0,0,0,0,0,0
"Fitzwilliam",200,"Fitzwilliam Rail station, UK",0,0,0,0,0,0,0,0,0
"Frizinghall",200,"Frizinghall Rail station, UK",0,0,0,0,0,0,0,0,0
"Featherstone",400,"Featherstone Rail station, UK",0,0,0,0,0,0,0,0,0
"Garforth",200,"Garforth Rail station, UK",0,0,0,0,0,0,0,0,0
"Glasshoughton",200,"Glasshoughton Rail station, UK",0,0,0,0,0,0,0,0,0
"Guiseley",200,"Guiseley Rail station, UK",0,0,0,0,0,0,0,0,0
"Hebden Bridge",400,"Hebden Bridge Rail station, UK",0,0,0,0,0,0,0,0,0
"Huddersfield",200,"Huddersfield Rail station, UK",0,0,0,0,0,0,0,0,0
"Headingley",200,"Headingley Rail station, UK",0,0,0,0,0,0,0,0,0
"Halifax",400,"Halifax Rail station, UK",0,0,0,0,0,0,0,0,0
"Honley",400,"Honley Rail station, UK",0,0,0,0,0,0,0,0,0
"Horsforth",200,"Horsforth Rail station, UK",0,0,0,0,0,0,0,0,0
"Ilkley",200,"Ilkley Rail station, UK",0,0,0,0,0,0,0,0,0
"Keighley",200,"Keighley Rail station, UK",0,0,0,0,0,0,0,0,0
"Kirkstall Forge",200,"Kirkstall Forge Rail station, UK",0,0,0,0,0,0,0,0,0
"Knottingley",400,"Knottingley Rail station, UK",0,0,0,0,0,0,0,0,0
"Leeds",0,"Leeds Rail station, UK",0,0,0,0,0,0,0,0,0
"Lockwood",200,"Lockwood Rail station, UK",0,0,0,0,0,0,0,0,0
"Low Moor",200,"Low Moor Rail station, UK",0,0,0,0,0,0,0,0,0
"Micklefield",400,"Micklefield Rail station, UK",0,0,0,0,0,0,0,0,0
"Menston",200,"Menston Rail station, UK",0,0,0,0,0,0,0,0,0
"Mirfield",200,"Mirfield Rail station, UK",0,0,0,0,0,0,0,0,0
"Moorthorpe",200,"Moorthorpe Rail station, UK",0,0,0,0,0,0,0,0,0
"Morley",200,"Morley Rail station, UK",0,0,0,0,0,0,0,0,0
"Marsden",1000,"Marsden Rail station, UK",0,0,0,0,0,0,0,0,0
"Mytholmroyd",400,"Mytholmroyd Rail station, UK",0,0,0,0,0,0,0,0,0
"Normanton",200,"Normanton Rail station, UK",0,0,0,0,0,0,0,0,0
"New Pudsey",200,"New Pudsey Rail station, UK",0,0,0,0,0,0,0,0,0
